Operateur;x;y;2G;3G;4G
20801;-5.088;48.456;1;1;0
20810;-5.088;48.462;1;1;0
20820;-5.088;48.462;1;1;1
20801;-4.956;48.397;0;1;1
20801;-4.854;48.038;1;1;0
20820;-4.78;48.354;1;1;1
20820;-4.731;48.038;1;0;0
20801;-4.777;48.354;1;1;0
20820;-4.771;48.504;1;1;0
20801;-4.771;48.504;1;1;0
20810;-4.748;48.37;1;1;1
20801;-4.754;48.454;1;1;1
20801;-4.677;48.037;1;1;1
20820;-4.722;48.35;1;1;1
20815;-4.722;48.35;0;1;1
20801;-4.722;48.35;1;1;1
20810;-4.722;48.35;1;1;0
20820;-4.736;48.45;1;1;1
20815;-4.736;48.45;0;1;1
20815;-4.736;48.487;0;1;1
20810;-4.736;48.488;1;1;0
20820;-4.716;48.407;1;1;0
20801;-4.716;48.407;1;1;1
20820;-4.661;48.033;1;1;0
20810;-4.661;48.033;1;1;0
20815;-4.661;48.033;0;1;1
20810;-4.732;48.538;1;1;0
20810;-4.712;48.435;1;1;0
20820;-4.691;48.554;1;1;0
20810;-4.641;48.36;1;1;1
20815;-4.641;48.36;0;1;1
20820;-4.66;48.528;1;1;1
20810;-4.66;48.528;1;1;0
20815;-4.66;48.528;0;1;0
20801;-4.66;48.528;1;1;1
20801;-4.632;48.359;1;1;1
20801;-4.621;48.381;0;1;1
20810;-4.627;48.428;0;1;0
20801;-4.627;48.428;0;1;1
20810;-4.621;48.388;1;1;1
20801;-4.62;48.388;1;1;0
20820;-4.62;48.388;1;1;1
20810;-4.627;48.458;1;1;0
20820;-4.613;48.357;1;1;1
20810;-4.561;48.031;1;1;0
20801;-4.618;48.447;1;1;1
20820;-4.613;48.445;1;1;1
20801;-4.602;48.377;1;1;1
20815;-4.611;48.443;0;1;1
20810;-4.602;48.388;1;1;1
20815;-4.602;48.388;0;1;1
20820;-4.585;48.273;1;1;1
20801;-4.585;48.272;1;1;0
20810;-4.583;48.271;1;1;0
20815;-4.583;48.271;0;1;0
20810;-4.617;48.565;1;1;0
20820;-4.617;48.565;1;1;0
20815;-4.606;48.525;0;1;0
20820;-4.606;48.525;1;1;1
20801;-4.552;48.17;1;1;0
20810;-4.575;48.377;1;1;1
20801;-4.575;48.377;1;1;0
20801;-4.522;48.02;1;1;1
20810;-4.522;48.019;0;1;0
20820;-4.522;48.019;1;1;0
20815;-4.522;48.019;0;1;1
20801;-4.571;48.36;1;1;1
20810;-4.582;48.438;1;1;0
20810;-4.563;48.36;1;1;1
20820;-4.563;48.36;1;1;1
20820;-4.571;48.429;1;1;1
20801;-4.571;48.429;1;1;1
20820;-4.57;48.464;1;1;1
20801;-4.502;48.016;1;1;1
20815;-4.555;48.427;0;1;1
20801;-4.555;48.427;1;1;1
20801;-4.544;48.373;1;1;0
20801;-4.558;48.469;1;1;0
20801;-4.546;48.418;1;1;0
20810;-4.545;48.418;1;1;0
20801;-4.517;48.227;0;1;1
20801;-4.567;48.587;1;1;0
20820;-4.567;48.587;1;0;0
20801;-4.537;48.383;0;1;1
20810;-4.481;48.017;1;1;0
20801;-4.532;48.378;1;1;0
